tag,year,count,freq
ASP.NET,2008,15349,0.019149459101700857
ASP.NET,2009,70162,0.018858319356642155
ASP.NET,2010,89784,0.014431909913402754
ASP.NET,2011,125193,0.012289683245152543
ASP.NET,2012,124885,0.009451659926725323
ASP.NET,2013,125496,0.007879787405977954
ASP.NET,2014,101542,0.006308209151842139
ASP.NET,2015,83982,0.0050976011374457295
ASP.NET,2016,56599,0.004773771927582793
AWK,2008,122,0.00015220757120382465
AWK,2009,940,0.0002526555713241302
AWK,2010,1901,0.00030556736996991264
AWK,2011,3161,0.00031030240299319604
AWK,2012,6462,0.0004890629494855189
AWK,2013,10835,0.0006803204607618659
AWK,2014,12614,0.0007836338681662439
AWK,2015,10714,0.0006503262435592573
AWK,2016,7632,0.0006437115028765858
ActionScript,2008,1100,0.0013723633469197305
ActionScript,2009,8344,0.0022427213692856837
ActionScript,2010,14365,0.0023090348603986297
ActionScript,2011,20741,0.0020360588865807904
ActionScript,2012,18008,0.0013628978016612852
ActionScript,2013,16105,0.001011219291238565
ActionScript,2014,11410,0.0007088364068318411
ActionScript,2015,7361,0.0004468033861153344
ActionScript,2016,2672,0.00022536650100710655
Android,2008,147,0.00018339764727018216
Android,2009,5232,0.0014062701586892014
Android,2010,67052,0.010777960700274898
Android,2011,225955,0.022181075440786967
Android,2012,339636,0.025704640035819206
Android,2013,396798,0.024914609892882963
Android,2014,407502,0.02531571020655468
Android,2015,406890,0.02469770816145475
Android,2016,302657,0.025527226457824792
Assembly,2008,486,0.00060633507872999
Assembly,2009,2688,0.0007224874209779383
Assembly,2010,4749,0.0007633558337649211
Assembly,2011,6178,0.0006064689167010329
Assembly,2012,7632,0.0005776119514815043
Assembly,2013,9690,0.000608426881844253
Assembly,2014,9218,0.0005726602978243568
Assembly,2015,9225,0.0005599458275932564
Assembly,2016,5661,0.0004774699708836939
Bash,2008,1290,0.0016094079250240476
Bash,2009,5680,0.0015266847288521912
Bash,2010,10534,0.001693238650848532
Bash,2011,17343,0.001702491165805441
Bash,2012,27324,0.0020679597696908573
Bash,2013,38799,0.0024361563043008433
Bash,2014,45205,0.0028083216275927585
Bash,2015,42251,0.002564582239744463
Bash,2016,31586,0.002664081699405115
BlackBerry,2008,129,0.00016094079250240475
BlackBerry,2009,1566,0.0004209134305250935
BlackBerry,2010,3432,0.0005516608173260075
BlackBerry,2011,6660,0.00065378487944786
BlackBerry,2012,5572,0.000421705161642419
BlackBerry,2013,2250,0.00014127559175950149
BlackBerry,2014,674,4.187166855430858e-05
BlackBerry,2015,313,1.8998703960616718e-05
BlackBerry,2016,68,5.7353750256299576e-06
C,2008,7387,0.009216043676087316
C,2009,36657,0.009852760934073022
C,2010,65512,0.010530420589936305
C,2011,82862,0.008134222624746033
C,2012,101947,0.007715645390157877
C,2013,125425,0.007875329376193544
C,2014,119904,0.007448932561329104
C,2015,112455,0.006825876210514866
C,2016,65138,0.005493983212051238
C#,2008,35206,0.0439231127196873
C#,2009,182369,0.04901759987958543
C#,2010,260827,0.04192541841511962
C#,2011,362890,0.03562342265808317
C#,2012,409838,0.031017731521393702
C#,2013,455276,0.02858639391728835
C#,2014,415817,0.025832272408378234
C#,2015,389428,0.02363778685615031
C#,2016,272791,0.023008216009067967
C++,2008,18485,0.023061942243464743
C++,2009,77545,0.020842740721627315
C++,2010,129381,0.020796744815400982
C++,2011,170479,0.016735224093602362
C++,2012,194080,0.01468853872425712
C++,2013,234328,0.014713256384809094
C++,2014,219443,0.013632707066117414
C++,2015,205883,0.012496837595922211
C++,2016,130294,0.010989484611609259
COBOL,2008,56,6.986577038864083e-05
COBOL,2009,247,6.63892831032555e-05
COBOL,2010,272,4.3721370137725534e-05
COBOL,2011,311,3.052959422046313e-05
COBOL,2012,317,2.3991481737373802e-05
COBOL,2013,397,2.492729330156537e-05
COBOL,2014,442,2.7458868695852215e-05
COBOL,2015,409,2.4825782491668493e-05
COBOL,2016,242,2.0411187591212493e-05
CSS,2008,5105,0.006369013532750204
CSS,2009,28088,0.007549563497183159
CSS,2010,52620,0.008458156237673226
CSS,2011,102328,0.010045119991612705
CSS,2012,150149,0.011363712906577094
CSS,2013,216399,0.013587509680517492
CSS,2014,242326,0.015054293700432316
CSS,2015,235706,0.014307055960834264
CSS,2016,160764,0.013559438685593742
CUDA,2008,79,9.856064036968973e-05
CUDA,2009,247,6.63892831032555e-05
CUDA,2010,1017,0.00016347291702230465
CUDA,2011,2816,0.0002764351682470231
CUDA,2012,4428,0.0003351239152463445
CUDA,2013,5082,0.000319094469920794
CUDA,2014,3562,0.00022128617713716196
CUDA,2015,3111,0.00018883376364689652
CUDA,2016,2126,0.00017931481330131307
Clojure,2008,141,0.00017591202901425635
Clojure,2009,1292,0.0003472670193093364
Clojure,2010,2907,0.0004672721433469416
Clojure,2011,3991,0.00039178009817964106
Clojure,2012,5504,0.0004165587239195754
Clojure,2013,6159,0.0003867183865096754
Clojure,2014,6009,0.00037330394116148405
Clojure,2015,5244,0.0003183041647587031
Clojure,2016,3744,0.0003157830014111553
CoffeeScript,2009,3,8.063475680557348e-07
CoffeeScript,2010,71,1.1412563528597474e-05
CoffeeScript,2011,2172,0.00021321633005416695
CoffeeScript,2012,4456,0.000337243036661633
CoffeeScript,2013,5285,0.0003318406677550957
CoffeeScript,2014,4464,0.0002773221490006432
CoffeeScript,2015,3271,0.00019854556119864949
CoffeeScript,2016,1599,0.0001348656568526809
D,2008,93,0.00011602708296684994
D,2009,330,8.869823248613082e-05
D,2010,455,7.313685078185705e-05
D,2011,991,9.728240473465904e-05
D,2012,917,6.940122635069961e-05
D,2013,876,5.500329705836591e-05
D,2014,944,5.864518563096038e-05
D,2015,782,4.746641053419257e-05
D,2016,452,3.812337517036383e-05
Dart,2011,86,8.442267212089484e-06
Dart,2012,1128,8.537031987305252e-05
Dart,2013,3654,0.0002294315610174304
Dart,2014,5768,0.0003583320240671393
Dart,2015,2436,0.00014786211772543873
Dart,2016,1056,8.906700039801816e-05
Delphi,2008,2447,0.0030528846453750733
Delphi,2009,11006,0.0029582204446738057
Delphi,2010,13538,0.0021761026063401774
Delphi,2011,16750,0.0016442787884011494
Delphi,2012,14361,0.0010868822373199531
Delphi,2013,14274,0.0008962523541222773
Delphi,2014,12050,0.000748595854717238
Delphi,2015,10545,0.0006400681573952182
Delphi,2016,6064,0.0005114605022855891
Erlang,2008,195,0.00024328259331758857
Erlang,2009,1553,0.0004174192577301854
Erlang,2010,1940,0.0003118362428940718
Erlang,2011,2548,0.0002501267076326047
Erlang,2012,2643,0.0002000299250217002
Erlang,2013,2608,0.0001637541081372355
Erlang,2014,2738,0.00017009588798471347
Erlang,2015,2399,0.00014561626454159587
Erlang,2016,1707,0.0001439747818933873
F#,2008,449,0.0005601737661517809
F#,2009,2007,0.0005394465230292865
F#,2010,3620,0.0005818799996270824
F#,2011,4109,0.00040336367412181036
F#,2012,3509,0.0002655713230802671
F#,2013,3567,0.00022396890480272968
F#,2014,4002,0.0002486207975583723
F#,2015,4138,0.0002511713641822108
F#,2016,2854,0.00024071706357570437
Flash,2008,1784,0.002225723828095272
Flash,2009,9550,0.002566873091644089
Flash,2010,14524,0.0023345925730894326
Flash,2011,18495,0.001815578280088314
Flash,2012,14315,0.0010834008235662649
Flash,2013,10917,0.0006854691712171011
Flash,2014,8438,0.0005242034707140294
Flash,2015,5387,0.0003269840838205823
Flash,2016,2278,0.00019213506335860356
Flex,2008,1637,0.00204232618082509
Flex,2009,9865,0.002651539586289941
Flex,2010,13723,0.0022058395676470863
Flex,2011,16052,0.0015757589917262836
Flex,2012,10208,0.0007725711216880497
Flex,2013,6145,0.0003858393383831718
Flex,2014,2862,0.00017779928101250913
Flex,2015,1590,9.6510988170545e-05
Flex,2016,539,4.5461281453155104e-05
Fortran,2008,85,0.00010604625862561553
Fortran,2009,453,0.00012175848277641594
Fortran,2010,780,0.0001253774584831835
Fortran,2011,1314,0.00012898998972890211
Fortran,2012,1984,0.00015015488885473068
Fortran,2013,2694,0.0001691539752000431
Fortran,2014,3021,0.00018767701884653742
Fortran,2015,3325,0.0002018232928723661
Fortran,2016,2011,0.0001696152820079683
Go,2009,333,8.950458005418656e-05
Go,2010,472,7.58694364154649e-05
Go,2011,1061,0.00010415401758170862
Go,2012,2661,0.00020139221736009994
Go,2013,5658,0.00035526102141122636
Go,2014,9946,0.0006178866697939958
Go,2015,12466,0.0007566704267509522
Go,2016,11057,0.0009325888479175064
Groovy,2008,346,0.00043167065275838797
Groovy,2009,1525,0.0004098933470949985
Groovy,2010,2566,0.000412459690343396
Groovy,2011,4771,0.0004683494984753364
Groovy,2012,4994,0.0003779604409982485
Groovy,2013,5283,0.0003317150894513095
Groovy,2014,7091,0.00044052225774273313
Groovy,2015,6328,0.0003841015931718294
Groovy,2016,4607,0.0003885716579864296
HTML,2008,7241,0.00903389363185979
HTML,2009,38884,0.010451339612093062
HTML,2010,71930,0.01156205203678896
HTML,2011,136219,0.013372060434460667
HTML,2012,198036,0.014987940307074316
HTML,2013,288464,0.018112409911694594
HTML,2014,334166,0.020759774471986767
HTML,2015,327927,0.01990475397346057
HTML,2016,231165,0.019497323055878663
Haskell,2008,369,0.0004603655227394369
Haskell,2009,2274,0.000611211456586247
Haskell,2010,5016,0.0008062735022457032
Haskell,2011,10149,0.000996285696924374
Haskell,2012,12291,0.0009302186184039792
Haskell,2013,13058,0.0008199007454202534
Haskell,2014,15602,0.0009692607904811906
Haskell,2015,13857,0.0008411023667165044
Haskell,2016,8915,0.0007519245346101627
Java,2008,21048,0.026259548841787717
Java,2009,100462,0.027002429794005075
Java,2010,189257,0.03042123289763059
Java,2011,317076,0.031126050215587037
Java,2012,434190,0.03286076168943322
Java,2013,547786,0.03439501835892012
Java,2014,573183,0.03560849940202412
Java,2015,556371,0.033771015722914646
Java,2016,366066,0.03087537932547435
JavaScript,2008,12505,0.015601276048392027
JavaScript,2009,71020,0.019088934761106093
JavaScript,2010,142519,0.02290855128918568
JavaScript,2011,284222,0.027900907808773225
JavaScript,2012,403158,0.03051216969803201
JavaScript,2013,540310,0.03392560665936722
JavaScript,2014,611379,0.03798139295113446
JavaScript,2015,657417,0.03990438006925483
JavaScript,2016,491565,0.04146043565402632
Julia,2012,25,1.8920726922219085e-06
Julia,2013,198,1.243225207483613e-05
Julia,2014,1246,7.740667510188203e-05
Julia,2015,1828,0.00011095728702877751
Julia,2016,1804,0.00015215612567994768
LaTeX,2008,127,0.00015844558641709615
LaTeX,2009,1702,0.00045746785361028687
LaTeX,2010,3125,0.0005023135355896775
LaTeX,2011,1308,0.00012840099434201216
LaTeX,2012,1075,8.135912576554207e-05
LaTeX,2013,1281,8.043290357507618e-05
LaTeX,2014,1473,9.150885427373373e-05
LaTeX,2015,1832,0.00011120008196757134
LaTeX,2016,1249,0.000105345344220762
Lisp,2008,712,0.0008882933663698619
Lisp,2009,1661,0.0004464477701801918
Lisp,2010,1994,0.0003205162207890614
Lisp,2011,2136,0.00020968235773282718
Lisp,2012,2333,0.00017656822363814852
Lisp,2013,2451,0.00015389621129001694
Lisp,2014,1701,0.00010567315758290638
Lisp,2015,1586,9.626819323175116e-05
Lisp,2016,1106,9.328418791686372e-05
Lua,2008,184,0.00022955895984839127
Lua,2009,846,0.0002273900141917172
Lua,2010,1500,0.00024111049708304522
Lua,2011,2686,0.0002636736015310739
Lua,2012,3324,0.000251569985157825
Lua,2013,5232,0.0003285128427047608
Lua,2014,5565,0.00034572082419098997
Lua,2015,4475,0.00027162683777559046
Lua,2016,3568,0.0003009385013448189
MATLAB,2008,266,0.0003318624093460439
MATLAB,2009,2243,0.0006028791983830043
MATLAB,2010,5513,0.0008861614469458855
MATLAB,2011,10660,0.001046448470707836
MATLAB,2012,18563,0.0014049018154286116
MATLAB,2013,28849,0.0018114042429643814
MATLAB,2014,32803,0.0020378580765385524
MATLAB,2015,31128,0.0018894302136935374
MATLAB,2016,19226,0.0016215929447464935
Mathematica,2008,20,2.495206085308601e-05
Mathematica,2009,223,5.993850255880962e-05
Mathematica,2010,841,0.00013518261869789402
Mathematica,2011,4759,0.0004671715077015564
Mathematica,2012,1455,0.00011011863068731508
Mathematica,2013,931,5.845670041248705e-05
Mathematica,2014,715,4.4418758184466816e-05
Mathematica,2015,540,3.277731673716622e-05
Mathematica,2016,343,2.892990637928052e-05
Objective-C,2008,1644,0.00205105940212367
Objective-C,2009,20374,0.00547617511718918
Objective-C,2010,49880,0.008017727729668196
Objective-C,2011,108710,0.010671614751467997
Objective-C,2012,128631,0.009735168098927853
Objective-C,2013,129873,0.008154615523814104
Objective-C,2014,123519,0.007673511317744275
Objective-C,2015,93766,0.005691477557735422
Objective-C,2016,48294,0.004073297080702546
Other,2008,619922,0.7734165734083392
Other,2009,2730353,0.7338711671612265
Other,2010,4401785,0.7075443796017947
Other,2011,7083436,0.6953518545550498
Other,2012,9227398,0.6983563110425222
Other,2013,11091572,0.6964303990413855
Other,2014,11109789,0.6901860574425865
Other,2015,11464430,0.6958763950390195
Other,2016,8337278,0.7031972944549129
PHP,2008,11033,0.013764804369604897
PHP,2009,81141,0.021809282673203458
PHP,2010,177115,0.028469523793909036
PHP,2011,307281,0.03016451524648917
PHP,2012,392750,0.029724461994806186
PHP,2013,468392,0.029409936433518406
PHP,2014,463535,0.028796711993058496
PHP,2015,428643,0.026018087737350263
PHP,2016,297703,0.025109387518457576
Pascal,2008,27,3.368528215166611e-05
Pascal,2009,233,6.262632778566206e-05
Pascal,2010,432,6.943982315991702e-05
Pascal,2011,594,5.831054330210643e-05
Pascal,2012,537,4.06417214289266e-05
Pascal,2013,756,4.746859883119249e-05
Pascal,2014,682,4.236866165287604e-05
Pascal,2015,635,3.854369653351954e-05
Pascal,2016,395,3.3315781398879895e-05
Perl,2008,3014,0.0037602755705600614
Perl,2009,12244,0.003290973207758139
Perl,2010,18271,0.0029368865948028794
Perl,2011,22433,0.0022021555856837605
Perl,2012,24393,0.0018461331672547606
Perl,2013,28684,0.0018010440329020178
Perl,2014,24823,0.0015421074607175102
Perl,2015,18298,0.0011106654475123473
Perl,2016,10672,0.0009001165040223956
PowerShell,2008,569,0.0007098861312702969
PowerShell,2009,2388,0.0006418526641723648
PowerShell,2010,3160,0.0005079394471882819
PowerShell,2011,6000,0.000588995386889964
PowerShell,2012,10122,0.0007660623916268064
PowerShell,2013,14139,0.0008877758186167072
PowerShell,2014,17928,0.0011137615338896799
PowerShell,2015,20889,0.0012679358691160467
PowerShell,2016,17228,0.001453074131493425
Python,2008,10185,0.01270683698943405
Python,2009,52657,0.014153281297036942
Python,2010,91370,0.014686844078985227
Python,2011,130428,0.012803581720214037
Python,2012,186173,0.014090113973161176
Python,2013,260678,0.01636775053719259
Python,2014,294042,0.018267105586121667
Python,2015,346070,0.02100601111709466
Python,2016,273873,0.023099475946975784
R,2008,35,4.3666106492900515e-05
R,2009,1904,0.0005117619231927063
R,2010,7175,0.0011533118777138996
R,2011,16975,0.0016663661154095232
R,2012,31287,0.0023678911328618743
R,2013,55158,0.003463324040120259
R,2014,73178,0.004546120120871206
R,2015,93879,0.005698336514756348
R,2016,73582,0.006206181840233875
Ruby,2008,3412,0.004256821581536473
Ruby,2009,22623,0.006080667010708296
Ruby,2010,47911,0.007701230017163853
Ruby,2011,82216,0.008070807454757547
Ruby,2012,96349,0.007291972472915547
Ruby,2013,111371,0.006992890635487751
Ruby,2014,103706,0.006442645785004637
Ruby,2015,98371,0.0059709952310218126
Ruby,2016,64820,0.00546716189943138
Rust,2010,4,6.429613255547872e-07
Rust,2011,2,1.96331795629988e-07
Rust,2012,66,4.995071907465839e-06
Rust,2013,317,1.990416115011643e-05
Rust,2014,2387,0.00014829031578506615
Rust,2015,5160,0.0003132054710440328
Rust,2016,3524,0.00029722737632823486
SASS,2008,8,9.980824341234404e-06
SASS,2009,80,2.1502601814819592e-05
SASS,2010,299,4.8061359085220345e-05
SASS,2011,971,9.531908677835917e-05
SASS,2012,2163,0.00016370212933103953
SASS,2013,3995,0.0002508426618129815
SASS,2014,5151,0.00032000143134012387
SASS,2015,4040,0.0002452228881817621
SASS,2016,3716,0.0003134213764006018
SQL,2008,5253,0.00655365878306304
SQL,2009,35286,0.009484260095471552
SQL,2010,70579,0.011344891849082831
SQL,2011,126979,0.012465007538650123
SQL,2012,168053,0.012718739685838736
SQL,2013,202996,0.012745946677694115
SQL,2014,203482,0.01264114371033801
SQL,2015,188365,0.011433517161474659
SQL,2016,129849,0.010951951642691533
SVG,2008,146,0.00018215004422752787
SVG,2009,514,0.0001381542166602159
SVG,2010,1240,0.00019931801092198403
SVG,2011,2815,0.0002763370023492081
SVG,2012,5236,0.00039627570465895653
SVG,2013,7314,0.00045923985694621946
SVG,2014,9290,0.000577133235711464
SVG,2015,10916,0.0006625873879683453
SVG,2016,8029,0.0006771959717762195
Scala,2008,89,0.00011103667079623274
Scala,2009,2247,0.0006039543284737454
Scala,2010,7193,0.001156205203678896
Scala,2011,13411,0.0013165028555968846
Scala,2012,15413,0.0011665006562086512
Scala,2013,21946,0.001377970727446231
Scala,2014,25706,0.0015969630739718936
Scala,2015,30982,0.0018805681984275628
Scala,2016,23266,0.0019623416962692144
Scheme,2008,334,0.00041669941624653635
Scheme,2009,1000,0.00026878252268524493
Scheme,2010,1423,0.00022873349156611556
Scheme,2011,1771,0.00017385180503035438
Scheme,2012,2305,0.00017444910222285997
Scheme,2013,2982,0.0001872372509452593
Scheme,2014,2298,0.00014276126756350313
Scheme,2015,1974,0.00011981930229475208
Scheme,2016,1287,0.00010855040673508463
Silverlight,2008,1308,0.0016318647797918249
Silverlight,2009,8207,0.0022058981636778052
Silverlight,2010,16597,0.002667807280058201
Silverlight,2011,20828,0.002044599319690695
Silverlight,2012,11845,0.0008964640415747403
Silverlight,2013,5827,0.00036587238808116225
Silverlight,2014,3727,0.00023153665979511583
Silverlight,2015,1896,0.00011508480098827252
Silverlight,2016,747,6.300478153155262e-05
Smalltalk,2008,110,0.00013723633469197306
Smalltalk,2009,411,0.00011046961682363565
Smalltalk,2010,365,5.867022095687433e-05
Smalltalk,2011,595,5.8408709199921426e-05
Smalltalk,2012,470,3.557096661377188e-05
Smalltalk,2013,753,4.728023137551316e-05
Smalltalk,2014,495,3.0751447973861644e-05
Smalltalk,2015,497,3.0167271145132616e-05
Smalltalk,2016,302,2.5471812613827164e-05
Swift,2009,52,1.3976691179632735e-05
Swift,2010,75,1.205552485415226e-05
Swift,2011,99,9.718423883684406e-06
Swift,2012,135,1.0217192537998307e-05
Swift,2013,186,1.1678782252118789e-05
Swift,2014,36297,0.002254919812337891
Swift,2015,120164,0.0072938027563052635
Swift,2016,97833,0.008251602130624347
Tcl,2008,54,6.737056430333223e-05
Tcl,2009,354,9.51490130305767e-05
Tcl,2010,609,9.789086181571635e-05
Tcl,2011,965,9.47300913914692e-05
Tcl,2012,1554,0.00011761123854851384
Tcl,2013,2349,0.00014749171779691953
Tcl,2014,2202,0.00013679735038069361
Tcl,2015,2042,0.00012394681625424708
Tcl,2016,1536,0.0001295520005789355
TypeScript,2012,1339,0.00010133941339540543
TypeScript,2013,2895,0.00018177459473055855
TypeScript,2014,3866,0.00024017191488272547
TypeScript,2015,7664,0.00046519510272896656
TypeScript,2016,18934,0.0015969645696364354
VB.NET,2008,4072,0.0050802395896883115
VB.NET,2009,17581,0.004725465531329291
VB.NET,2010,22365,0.003594957511508204
VB.NET,2011,29897,0.0029348658469748757
VB.NET,2012,33777,0.002556341573007176
VB.NET,2013,45259,0.0028417742255303453
VB.NET,2014,42367,0.002632013325875952
VB.NET,2015,35284,0.0021416941551003206
VB.NET,2016,23146,0.001952220446223985
VB6,2008,1024,0.0012775455156780037
VB6,2009,3256,0.0008751558938631574
VB6,2010,3243,0.0005212808946935437
VB6,2011,3228,0.00031687951814680064
VB6,2012,3311,0.00025058610735786957
VB6,2013,3245,0.00020375079789314768
VB6,2014,2715,0.00016866703282633204
VB6,2015,2094,0.0001271031504585668
VB6,2016,1425,0.00012018984428709836
VBA,2008,679,0.00084712246596227
VBA,2009,3879,0.001042607405496065
VBA,2010,4931,0.0007926105740776639
VBA,2011,7662,0.000752147109058484
VBA,2012,12042,0.0009113735743894489
VBA,2013,21893,0.001374642902395896
VBA,2014,30369,0.0018866479262994024
VBA,2015,42801,0.002597966543828614
VBA,2016,34350,0.0028972078254468976
VBScript,2008,593,0.0007398286042940001
VBScript,2009,1751,0.00047063819722186384
VBScript,2010,2272,0.00036520203291511916
VBScript,2011,3001,0.000294595859342797
VBScript,2012,4392,0.0003323993305695449
VBScript,2013,5828,0.0003659351772330554
VBScript,2014,5911,0.00036721577570403264
VBScript,2015,5701,0.0003460434865158975
VBScript,2016,3771,0.00031806028267133187
XSLT,2008,870,0.0010854146471092414
XSLT,2009,4134,0.0011111469487808025
XSLT,2010,6063,0.0009745686292096687
XSLT,2011,8860,0.0008697498546408468
XSLT,2012,10243,0.0007752200234571604
XSLT,2013,11107,0.0006973991100767924
XSLT,2014,9999,0.0006211792490720051
XSLT,2015,8515,0.0005168497259573526
XSLT,2016,5566,0.0004694573145978874
iOS,2008,284,0.00035431926411382133
iOS,2009,1595,0.00042870812368296565
iOS,2010,9081,0.0014596829493407557
iOS,2011,85318,0.008375318069779657
iOS,2012,183343,0.013875931344401656
iOS,2013,211736,0.013294723865239912
iOS,2014,222320,0.013811438209189737
iOS,2015,244289,0.014828033200751111
iOS,2016,155951,0.013153492215029669
iPhone,2008,2282,0.0028470301433371134
iPhone,2009,39219,0.01054138175719262
iPhone,2010,100039,0.016080302011793838
iPhone,2011,153890,0.015106750014749426
iPhone,2012,128288,0.009709208861590568
iPhone,2013,82507,0.005180544555244973
iPhone,2014,42194,0.0026212658501194304
iPhone,2015,34843,0.0021149260130983016
iPhone,2016,17961,0.0015148981005197008
