tag1,ASP.NET,AWK,ActionScript,Android,Assembly,Bash,BlackBerry,C,C#,C++,COBOL,CSS,CUDA,Clojure,CoffeeScript,D,Dart,Delphi,Erlang,F#,Flash,Flex,Fortran,Go,Groovy,HTML,Haskell,Java,JavaScript,Julia,LaTeX,Lisp,Lua,MATLAB,Mathematica,Objective-C,Other,PHP,Pascal,Perl,PowerShell,Python,R,Ruby,Rust,SASS,SQL,SVG,Scala,Scheme,Silverlight,Smalltalk,Swift,Tcl,TypeScript,VB.NET,VB6,VBA,VBScript,XSLT,iOS,iPhone
ASP.NET,167576,1492,3785,28473,3089,6814,1553,15835,122008,21876,329,49552,678,1049,2206,357,406,3090,821,2422,7356,2929,605,1503,1694,63371,1630,40548,83558,87,848,929,1347,2565,269,9513,162036,43045,539,5204,7596,19468,2331,11474,282,2048,39025,4542,2658,705,10695,249,2751,433,3643,32128,4086,6480,4764,5562,15018,12448
AWK,1492,15268,489,2966,1121,9920,167,4573,3155,4584,79,3204,299,413,327,132,70,373,294,204,676,336,487,608,509,4826,698,5852,5453,106,648,469,493,1237,162,1390,14888,4893,164,4149,839,6544,1879,1728,110,200,4707,594,843,336,239,85,364,526,129,961,269,695,486,667,1463,1229
ActionScript,3785,489,24623,6485,887,1943,409,3579,6230,4697,83,7303,218,366,584,160,147,625,281,353,14613,7752,207,480,491,8915,530,7882,11337,32,268,337,581,703,102,2948,23189,9286,153,1386,604,4420,549,2579,78,503,6679,1190,794,270,1082,87,824,158,498,1963,503,734,599,762,4532,3662
Android,28473,2966,6485,368491,5701,15551,3832,33481,59532,44137,314,55343,1545,2021,2835,520,832,3480,1334,1322,9742,4442,882,3241,4085,76435,2965,171116,101443,180,1448,1362,2867,6100,442,26405,351949,76278,720,7319,4087,43127,4133,16814,617,2793,60477,6321,6568,1110,4949,305,11220,744,2980,12602,2201,4930,2729,4284,50781,30795
Assembly,3089,1121,887,5701,21176,3915,335,12322,7203,11556,159,4604,862,562,318,395,116,1278,476,619,1332,573,615,796,483,6496,1364,9888,7847,83,552,825,966,1724,220,3085,20895,6427,471,2342,886,7537,1013,2003,309,205,5368,736,1038,727,935,179,812,340,271,2308,789,965,685,763,2963,2657
Bash,6814,9920,1943,15551,3915,70312,708,19042,14426,19989,205,17711,1030,1490,1802,433,295,1298,1060,719,3216,1390,1185,2328,2049,24086,2488,27952,28996,265,1888,1442,1625,3917,457,6632,69248,24479,473,9512,2768,28085,4503,9018,551,1428,22007,2648,3341,1063,1166,230,2252,1046,887,3663,897,2319,1479,2297,8307,6464
BlackBerry,1553,167,409,3832,335,708,6492,1370,2252,1687,43,2055,90,164,153,57,41,277,111,117,748,392,83,160,309,2747,174,3886,3259,11,93,111,179,236,34,1521,6311,2597,69,524,263,1441,166,879,28,139,2170,334,364,99,463,39,369,56,115,808,233,267,247,355,2097,2242
C,15835,4573,3579,33481,12322,19042,1370,158631,37875,72557,373,26223,3367,2146,1733,924,453,3255,1699,1827,5457,2430,2099,3316,2244,37491,4751,58083,46723,374,2294,2517,3462,8900,800,16358,152851,36428,1010,9937,3720,43747,5113,10674,1077,1132,31420,3523,4747,2098,3654,440,5129,1207,1355,9592,2489,4169,2505,3227,17619,14614
C#,122008,3155,6230,59532,7203,14426,2252,37875,387044,56643,490,66624,1916,2196,2957,795,701,5495,1536,3924,10328,4510,1291,3048,3254,91698,3915,86358,123226,221,1859,2000,3140,7079,626,18904,376761,70829,1072,9373,12389,42790,4969,17075,732,2478,64101,6240,5858,1517,16820,452,6299,880,5261,38986,5783,10984,6455,7974,28592,20955
C++,21876,4584,4697,44137,11556,19989,1687,72557,56643,233959,407,33276,4432,2285,2051,1060,577,4289,1731,2284,7052,3056,2273,3573,2638,47106,5115,73577,60512,449,2659,2554,4141,11496,932,18398,225978,44939,1136,10451,4942,53706,6551,12267,1169,1326,38408,4385,5728,2066,5368,454,5833,1279,1944,13247,3216,5528,3186,4013,21787,16808
COBOL,329,79,83,314,159,205,43,373,490,407,1109,310,35,53,18,30,4,103,47,59,114,74,68,56,70,426,60,593,470,9,42,67,56,72,13,158,1042,433,53,194,104,358,90,182,10,17,412,44,97,42,89,23,45,26,16,275,104,128,101,89,162,176
CSS,49552,3204,7303,55343,4604,17711,2055,26223,66624,33276,310,308627,972,1878,5862,473,921,2786,1189,1547,13377,4540,811,3213,3325,240671,2975,78245,212490,221,1805,1505,2364,4449,472,17075,298383,135034,689,8794,5645,45450,4713,28718,632,9754,92671,14336,4913,1202,6217,309,7054,707,5181,18681,2843,7237,4317,6567,32727,22931
CUDA,678,299,218,1545,862,1030,90,3367,1916,4432,35,972,7111,174,81,131,39,290,137,203,318,123,451,248,122,1414,407,2512,1887,68,265,200,298,1287,157,796,6819,1370,105,573,227,2671,570,475,83,38,1224,229,362,153,237,37,183,114,67,493,161,232,134,140,848,668
Clojure,1049,413,366,2021,562,1490,164,2146,2196,2285,53,1878,174,7249,418,130,86,264,483,523,512,294,170,548,649,2579,1284,4339,3632,82,327,1311,336,495,109,970,7086,2177,94,895,320,3153,586,1642,196,209,2174,367,1597,765,298,131,295,106,174,585,156,263,174,398,985,947
CoffeeScript,2206,327,584,2835,318,1802,153,1733,2957,2051,18,5862,81,418,10611,62,160,166,224,204,993,403,80,542,344,6445,450,3995,9388,33,192,228,281,322,48,1391,10566,4876,56,779,392,3428,381,5214,134,1254,4162,1169,751,178,396,44,519,75,732,874,156,327,239,444,2311,1672
D,357,132,160,520,395,433,57,924,795,1060,30,473,131,130,62,1598,41,187,101,146,197,101,127,206,104,629,280,911,798,32,121,168,214,221,42,386,1570,642,72,320,123,839,169,275,104,32,557,107,205,122,143,34,89,77,47,295,122,117,85,114,309,329
Dart,406,70,147,832,116,295,41,453,701,577,4,921,39,86,160,41,2662,58,54,55,201,106,24,211,98,1104,122,1162,1532,19,31,55,71,77,16,274,2600,841,23,153,86,737,92,358,65,106,657,239,210,48,110,19,118,20,213,196,44,80,59,91,430,292
Delphi,3090,373,625,3480,1278,1298,277,3255,5495,4289,103,2786,290,264,166,187,58,15558,226,414,989,488,280,325,318,3903,451,4633,4717,24,241,297,459,631,97,1535,15111,4230,919,1198,822,2956,482,1305,69,113,3977,432,507,223,1021,92,342,171,200,2280,920,991,779,700,1761,1628
Erlang,821,294,281,1334,476,1060,111,1699,1536,1731,47,1189,137,483,224,101,54,226,4946,320,398,221,129,425,257,1688,777,2413,2300,45,190,418,271,305,62,779,4827,1732,75,642,242,2149,296,1051,133,105,1599,218,750,307,240,86,224,84,103,457,134,178,137,238,790,764
F#,2422,204,353,1322,619,719,117,1827,3924,2284,59,1547,203,523,204,146,55,414,320,5419,523,241,172,277,224,2083,1030,2576,2685,51,217,483,276,451,98,739,5334,1772,98,638,782,2009,428,823,118,94,1640,272,835,361,1118,97,185,76,349,1638,436,492,355,496,759,798
Flash,7356,676,14613,9742,1332,3216,748,5457,10328,7052,114,13377,318,512,993,197,201,989,398,523,33500,6426,256,699,721,16222,715,12068,19547,35,413,449,766,968,121,4296,32477,15627,230,2258,1012,7273,733,4665,130,936,11588,2121,1120,339,2243,111,1167,197,715,3504,896,1195,1044,1380,6715,6069
Flex,2929,336,7752,4442,573,1390,392,2430,4510,3056,74,4540,123,294,403,101,106,488,221,241,6426,15669,130,342,558,5648,355,6480,7361,16,183,235,317,421,47,1958,15233,5721,95,1026,445,3188,374,2091,57,291,4599,818,743,167,1023,69,482,105,328,1415,420,496,479,687,2851,2613
Fortran,605,487,207,882,615,1185,83,2099,1291,2273,68,811,451,170,80,127,24,280,129,172,256,130,5405,190,131,1174,338,1598,1340,107,407,248,250,1143,197,602,5245,1136,141,684,250,2394,733,448,73,36,996,212,282,174,192,54,154,142,64,540,205,343,180,198,512,501
Go,1503,608,480,3241,796,2328,160,3316,3048,3573,56,3213,248,548,542,206,211,325,425,277,699,342,190,11728,419,4375,770,4986,5922,82,273,395,507,576,84,1532,11416,4231,131,1177,487,4956,633,2172,345,286,3780,566,999,313,323,92,628,167,326,807,199,356,242,385,1906,1434
Groovy,1694,509,491,4085,483,2049,309,2244,3254,2638,70,3325,122,649,344,104,98,318,257,224,721,558,131,419,12707,4528,483,9364,6111,42,242,292,264,469,68,1204,12557,3677,96,1159,537,3471,539,1828,72,211,4192,504,1767,198,350,90,379,127,240,912,238,463,361,863,1526,1264
HTML,63371,4826,8915,76435,6496,24086,2747,37491,91698,47106,426,240671,1414,2579,6445,629,1104,3903,1688,2083,16222,5648,1174,4375,4528,421150,4110,114036,292834,305,2541,2099,3215,6659,640,23821,406130,189713,946,12713,7788,65681,7163,33396,808,8445,127730,15236,6986,1661,8100,449,9855,1036,6056,25033,3897,10429,6071,8988,42198,29624
Haskell,1630,698,530,2965,1364,2488,174,4751,3915,5115,60,2975,407,1284,450,280,122,451,777,1030,715,355,338,770,483,4110,13941,6141,5457,138,603,1150,598,1048,239,1616,13438,3593,179,1413,498,5557,987,1826,464,202,3138,572,2042,909,485,169,548,198,305,1068,279,451,286,531,1613,1417
Java,40548,5852,7882,171116,9888,27952,3886,58083,86358,73577,593,78245,2512,4339,3995,911,1162,4633,2413,2576,12068,6480,1598,4986,9364,114036,6141,552352,150916,388,2837,2989,3874,10957,870,27132,534430,101064,1148,14192,7461,74567,9306,25175,1153,3164,97957,8248,16097,2392,7195,613,11004,1299,3961,19934,3844,9012,4927,9088,41504,28153
JavaScript,83558,5453,11337,101443,7847,28996,3259,46723,123226,60512,470,212490,1887,3632,9388,798,1532,4717,2300,2685,19547,7361,1340,5922,6111,292834,5457,150916,615997,385,2660,2609,4075,8102,762,31167,600325,223146,1044,14718,9616,84051,8811,46687,1150,9508,149946,18945,10071,2100,10314,558,13126,1156,9295,29608,4489,11685,6757,10107,56375,37168
Julia,87,106,32,180,83,265,11,374,221,449,9,221,68,82,33,32,19,24,45,51,35,16,107,82,42,305,138,388,385,1328,122,75,62,304,63,106,1269,227,19,121,48,724,388,110,50,16,225,64,123,46,22,7,54,31,25,55,14,55,32,36,113,81
LaTeX,848,648,268,1448,552,1888,93,2294,1859,2659,42,1805,265,327,192,121,31,241,190,217,413,183,407,273,242,2541,603,2837,2660,122,7234,435,305,1340,258,811,7039,2101,95,1125,327,3677,1887,901,81,113,1873,484,537,271,220,50,182,167,88,570,165,402,203,355,742,781
Lisp,929,469,337,1362,825,1442,111,2517,2000,2554,67,1505,200,1311,228,168,55,297,418,483,449,235,248,395,292,2099,1150,2989,2609,75,435,5466,371,580,143,924,5419,1903,124,1031,318,2844,535,1088,135,125,1682,285,776,1739,312,165,217,149,110,635,214,313,213,333,735,829
Lua,1347,493,581,2867,966,1625,179,3462,3140,4141,56,2364,298,336,281,214,71,459,271,276,766,317,250,507,264,3215,598,3874,4075,62,305,371,9915,687,104,1550,9644,3219,160,992,395,3523,504,1142,153,139,2576,457,529,302,379,88,466,196,169,963,305,424,283,353,1840,1560
MATLAB,2565,1237,703,6100,1724,3917,236,8900,7079,11496,72,4449,1287,495,322,221,77,631,305,451,968,421,1143,576,469,6659,1048,10957,8102,304,1340,580,687,39456,722,2298,37200,5960,226,2107,795,12304,3725,1713,155,187,5439,919,1129,464,646,95,733,349,255,1808,484,1504,532,607,2659,2072
Mathematica,269,162,102,442,220,457,34,800,626,932,13,472,157,109,48,42,16,97,62,98,121,47,197,84,68,640,239,870,762,63,258,143,104,722,2740,295,2484,577,44,278,90,1091,429,212,36,27,507,135,161,110,80,21,82,49,27,239,64,166,62,92,264,267
Objective-C,9513,1390,2948,26405,3085,6632,1521,16358,18904,18398,158,17075,796,970,1391,386,274,1535,779,739,4296,1958,602,1532,1204,23821,1616,27132,31167,106,811,924,1550,2298,295,110132,107643,24243,398,3635,1549,15762,1700,9065,310,971,18067,2217,2140,718,2258,247,22908,403,835,4676,1075,1822,1189,1605,83716,61185
Other,162036,14888,23189,351949,20895,69248,6311,152851,376761,225978,1042,298383,6819,7086,10566,1570,2600,15111,4827,5334,32477,15233,5245,11416,12557,406130,13438,534430,600325,1269,7039,5419,9644,37200,2484,107643,2799379,453445,2265,35361,26880,292419,53701,94965,2626,12214,296963,23251,25191,4606,20727,1104,49415,3247,11725,67711,9008,47031,14177,20013,176337,108217
PHP,43045,4893,9286,76278,6427,24479,2597,36428,70829,44939,433,135034,1370,2177,4876,642,841,4230,1732,1772,15627,5721,1136,4231,3677,189713,3593,101064,223146,227,2101,1903,3219,5960,577,24243,453445,471884,967,13071,6279,57897,5772,28401,708,6228,196171,10788,6021,1448,5954,397,9475,1022,3976,20048,3561,8745,4960,6722,39930,28597
Pascal,539,164,153,720,471,473,69,1010,1072,1136,53,689,105,94,56,72,23,919,75,98,230,95,141,131,96,946,179,1148,1044,19,95,124,160,226,44,398,2265,967,2346,366,187,877,202,287,48,35,886,138,166,103,159,40,113,62,47,462,188,230,174,162,414,338
Perl,5204,4149,1386,7319,2342,9512,524,9937,9373,10451,194,8794,573,895,779,320,153,1198,642,638,2258,1026,684,1177,1159,12713,1413,14192,14718,121,1125,1031,992,2107,278,3635,35361,13071,366,36627,1839,13318,2716,4632,230,517,12163,1433,1721,743,1138,186,873,812,424,3172,934,1860,1367,1802,3854,3703
PowerShell,7596,839,604,4087,886,2768,263,3720,12389,4942,104,5645,227,320,392,123,86,822,242,782,1012,445,250,487,537,7788,498,7461,9616,48,327,318,395,795,90,1549,26880,6279,187,1839,28319,5618,898,1956,98,293,5788,711,740,235,1945,70,473,221,697,4369,1005,2136,2161,1332,2105,1711
Python,19468,6544,4420,43127,7537,28085,1441,43747,42790,53706,358,45450,2671,3153,3428,839,737,2956,2149,2009,7273,3188,2394,4956,3471,65681,5557,74567,84051,724,3677,2844,3523,12304,1091,15762,292419,57897,877,13318,5618,301792,13873,19126,1201,2483,52596,6311,7932,2194,3718,508,6131,1507,2141,10551,2348,7030,3219,4347,21585,15809
R,2331,1879,549,4133,1013,4503,166,5113,4969,6551,90,4713,570,586,381,169,92,482,296,428,733,374,733,633,539,7163,987,9306,8811,388,1887,535,504,3725,429,1700,53701,5772,202,2716,898,13873,58100,2217,170,236,6647,1151,1748,394,439,86,597,353,220,1473,378,2204,598,696,2086,1543
Ruby,11474,1728,2579,16814,2003,9018,879,10674,17075,12267,182,28718,475,1642,5214,275,358,1305,1051,823,4665,2091,448,2172,1828,33396,1826,25175,46687,110,901,1088,1142,1713,212,9065,94965,28401,287,4632,1956,19126,2217,96565,411,4040,27029,3377,3086,771,2101,272,3332,396,1258,4988,1076,2094,1407,2159,12898,10195
Rust,282,110,78,617,309,551,28,1077,732,1169,10,632,83,196,134,104,65,69,133,118,130,57,73,345,72,808,464,1153,1150,50,81,135,153,155,36,310,2626,708,48,230,98,1201,170,411,2738,67,591,137,355,127,65,25,162,43,80,173,44,80,38,82,341,247
SASS,2048,200,503,2793,205,1428,139,1132,2478,1326,17,9754,38,209,1254,32,106,113,105,94,936,291,36,286,211,8445,202,3164,9508,16,113,125,139,187,27,971,12214,6228,35,517,293,2483,236,4040,67,12342,4410,1616,346,89,270,31,425,33,626,686,109,282,190,368,2381,1605
SQL,39025,4707,6679,60477,5368,22007,2170,31420,64101,38408,412,92671,1224,2174,4162,557,657,3977,1599,1640,11588,4599,996,3780,4192,127730,3138,97957,149946,225,1873,1682,2576,5439,507,18067,296963,196171,886,12163,5788,52596,6647,27029,591,4410,309220,7648,6639,1288,5468,359,6770,890,3081,20052,3551,8796,4560,5948,28781,20910
SVG,4542,594,1190,6321,736,2648,334,3523,6240,4385,44,14336,229,367,1169,107,239,432,218,272,2121,818,212,566,504,15236,572,8248,18945,64,484,285,457,919,135,2217,23251,10788,138,1433,711,6311,1151,3377,137,1616,7648,23552,818,238,797,61,883,158,956,1838,384,857,574,1122,4322,3045
Scala,2658,843,794,6568,1038,3341,364,4747,5858,5728,97,4913,362,1597,751,205,210,507,750,835,1120,743,282,999,1767,6986,2042,16097,10071,123,537,776,529,1129,161,2140,25191,6021,166,1721,740,7932,1748,3086,355,346,6639,818,25550,566,649,161,752,189,553,1384,316,614,387,931,2599,2079
Scheme,705,336,270,1110,727,1063,99,2098,1517,2066,42,1202,153,765,178,122,48,223,307,361,339,167,174,313,198,1661,909,2392,2100,46,271,1739,302,464,110,718,4606,1448,103,743,235,2194,394,771,127,89,1288,238,566,4737,212,141,198,109,80,489,151,222,157,227,618,625
Silverlight,10695,239,1082,4949,935,1166,463,3654,16820,5368,89,6217,237,298,396,143,110,1021,240,1118,2243,1023,192,323,350,8100,485,7195,10314,22,220,312,379,646,80,2258,20727,5954,159,1138,1945,3718,439,2101,65,270,5468,797,649,212,20993,75,553,100,825,5979,1293,1340,1038,1316,3002,2944
Smalltalk,249,85,87,305,179,230,39,440,452,454,23,309,37,131,44,34,19,92,86,97,111,69,54,92,90,449,169,613,558,7,50,165,88,95,21,247,1104,397,40,186,70,508,86,272,25,31,359,61,161,141,75,1129,59,41,28,163,55,70,52,75,189,219
Swift,2751,364,824,11220,812,2252,369,5129,6299,5833,45,7054,183,295,519,89,118,342,224,185,1167,482,154,628,379,9855,548,11004,13126,54,182,217,466,733,82,22908,49415,9475,113,873,473,6131,597,3332,162,425,6770,883,752,198,553,59,50722,103,424,1228,224,614,278,384,42454,19255
Tcl,433,526,158,744,340,1046,56,1207,880,1279,26,707,114,106,75,77,20,171,84,76,197,105,142,167,127,1036,198,1299,1156,31,167,149,196,349,49,403,3247,1022,62,812,221,1507,353,396,43,33,890,158,189,109,100,41,103,3424,38,323,115,232,165,165,402,364
TypeScript,3643,129,498,2980,271,887,115,1355,5261,1944,16,5181,67,174,732,47,213,200,103,349,715,328,64,326,240,6056,305,3961,9295,25,88,110,169,255,27,835,11725,3976,47,424,697,2141,220,1258,80,626,3081,956,553,80,825,28,424,38,11857,1352,199,384,278,395,1792,979
VB.NET,32128,961,1963,12602,2308,3663,808,9592,38986,13247,275,18681,493,585,874,295,196,2280,457,1638,3504,1415,540,807,912,25033,1068,19934,29608,55,570,635,963,1808,239,4676,67711,20048,462,3172,4369,10551,1473,4988,173,686,20052,1838,1384,489,5979,163,1228,323,1352,71075,4330,6557,3919,2984,6121,5529
VB6,4086,269,503,2201,789,897,233,2489,5783,3216,104,2843,161,156,156,122,44,920,134,436,896,420,205,199,238,3897,279,3844,4489,14,165,214,305,484,64,1075,9008,3561,188,934,1005,2348,378,1076,44,109,3551,384,316,151,1293,55,224,115,199,4330,9395,2270,1506,764,1151,1304
VBA,6480,695,734,4930,965,2319,267,4169,10984,5528,128,7237,232,263,327,117,80,991,178,492,1195,496,343,356,463,10429,451,9012,11685,55,402,313,424,1504,166,1822,47031,8745,230,1860,2136,7030,2204,2094,80,282,8796,857,614,222,1340,70,614,232,384,6557,2270,47626,3082,1229,2432,1941
VBScript,4764,486,599,2729,685,1479,247,2505,6455,3186,101,4317,134,174,239,85,59,779,137,355,1044,479,180,242,361,6071,286,4927,6757,32,203,213,283,532,62,1189,14177,4960,174,1367,2161,3219,598,1407,38,190,4560,574,387,157,1038,52,278,165,278,3919,1506,3082,14926,984,1430,1364
XSLT,5562,667,762,4284,763,2297,355,3227,7974,4013,89,6567,140,398,444,114,91,700,238,496,1380,687,198,385,863,8988,531,9088,10107,36,355,333,353,607,92,1605,20013,6722,162,1802,1332,4347,696,2159,82,368,5948,1122,931,227,1316,75,384,165,395,2984,764,1229,984,20554,2031,2062
iOS,15018,1463,4532,50781,2963,8307,2097,17619,28592,21787,162,32727,848,985,2311,309,430,1761,790,759,6715,2851,512,1906,1526,42198,1613,41504,56375,113,742,735,1840,2659,264,83716,176337,39930,414,3854,2105,21585,2086,12898,341,2381,28781,4322,2599,618,3002,189,42454,402,1792,6121,1151,2432,1430,2031,179856,75131
iPhone,12448,1229,3662,30795,2657,6464,2242,14614,20955,16808,176,22931,668,947,1672,329,292,1628,764,798,6069,2613,501,1434,1264,29624,1417,28153,37168,81,781,829,1560,2072,267,61185,108217,28597,338,3703,1711,15809,1543,10195,247,1605,20910,3045,2079,625,2944,219,19255,364,979,5529,1304,1941,1364,2062,75131,110800
